item 1, 24.97, 69.39, "item 1"
item 2, 54.79, 86.21, "item 2"
item 3, 41.49, 36.41, "item 3"
item 4, 86.74, 19.58, "item 4"
item 5, 90.01, 92.34, "item 5"
item 6, 57.57, 70.01, "item 6"
item 7, 5.11, 2.73, "item 7"
item 8, 38.94, 30.96, "item 8"
item 9, 11.45, 70.99, "item 9"
item 10, 85.04, 65.66, "item 10"
item 11, 32.39, 88.63, "item 11"
item 12, 90.53, 21.48, "item 12"
item 13, 53.88, 40.22, "item 13"
item 14, 79.74, 88.01, "item 14"
item 15, 24.51, 61.61, "item 15"
item 16, 75.91, 63.89, "item 16"
item 17, 84.42, 40.3, "item 17"
item 18, 75.14, 14.95, "item 18"
item 19, 80.6, 16.05, "item 19"
item 20, 29.02, 51.7, "item 20"
item 21, 44.4, 86.6, "item 21"
item 22, 21.63, 27.36, "item 22"
item 23, 78.03, 48.48, "item 23"
item 24, 12.17, 59.75, "item 24"
item 25, 21.26, 6.17, "item 25"
item 26, 2.72, 9.86, "item 26"
item 27, 46.98, 64.15, "item 27"
item 28, 82.14, 7.84, "item 28"
item 29, 64.83, 75.98, "item 29"
item 30, 91.78, 3.35, "item 30"
item 31, 95.75, 61.92, "item 31"
item 32, 56.43, 31.13, "item 32"
item 33, 17.19, 22.63, "item 33"
item 34, 24.76, 25.25, "item 34"
item 35, 68.65, 69.96, "item 35"
item 36, 67.56, 85.55, "item 36"
item 37, 50.17, 68.25, "item 37"
item 38, 89.27, 98.6, "item 38"
item 39, 42.9, 29.27, "item 39"
item 40, 18.32, 42.05, "item 40"
item 41, 29.65, 32.32, "item 41"
item 42, 55.48, 55.97, "item 42"
item 43, 96.4, 47.51, "item 43"
item 44, 75.78, 47.91, "item 44"
item 45, 50.82, 24.27, "item 45"
item 46, 99.05, 9.12, "item 46"
item 47, 2.78, 70.32, "item 47"
item 48, 67.14, 58.84, "item 48"
item 49, 13.59, 86.53, "item 49"
item 50, 91.67, 0.63, "item 50"
item 51, 35.61, 42.31, "item 51"
item 52, 65.02, 70.28, "item 52"
item 53, 32.13, 72.89, "item 53"
item 54, 59.56, 78.26, "item 54"
item 55, 88.19, 55.17, "item 55"
item 56, 75.4, 1.41, "item 56"
item 57, 97.89, 71.85, "item 57"
item 58, 35.15, 58.27, "item 58"
item 59, 40.7, 5, "item 59"
item 60, 65.84, 10.47, "item 60"
item 61, 40.06, 9.76, "item 61"
item 62, 52.66, 68.57, "item 62"
item 63, 31.34, 6.21, "item 63"
item 64, 97.06, 44.83, "item 64"
item 65, 52.74, 93.55, "item 65"
item 66, 62.57, 87.85, "item 66"
item 67, 13.03, 34.21, "item 67"
item 68, 45.6, 54.31, "item 68"
item 69, 82.84, 77.73, "item 69"
item 70, 65.77, 21.54, "item 70"
