item 1, 4.69, 79.02, "item 1"
item 2, 18.23, 95.45, "item 2"
item 3, 91.63, 97.54, "item 3"
item 4, 31.44, 12.65, "item 4"
item 5, 80.51, 24, "item 5"
item 6, 11.03, 52.18, "item 6"
item 7, 16.59, 40.24, "item 7"
item 8, 38.41, 1.55, "item 8"
item 9, 76.11, 67.43, "item 9"
item 10, 75.2, 23.53, "item 10"
item 11, 53.22, 56.47, "item 11"
item 12, 41.38, 27.22, "item 12"
item 13, 34.19, 31.52, "item 13"
item 14, 75.01, 8.71, "item 14"
item 15, 70.18, 84.1, "item 15"
item 16, 40.29, 13.2, "item 16"
item 17, 46.89, 81.03, "item 17"
item 18, 1.78, 62.88, "item 18"
item 19, 89.02, 93.53, "item 19"
item 20, 36.42, 15.08, "item 20"
item 21, 30.74, 76.47, "item 21"
item 22, 12.21, 64.05, "item 22"
item 23, 29.57, 27.02, "item 23"
item 24, 22.78, 75.93, "item 24"
item 25, 0.27, 30.24, "item 25"
item 26, 30.21, 51.73, "item 26"
item 27, 97.87, 55.23, "item 27"
item 28, 35.13, 45.8, "item 28"
item 29, 84.5, 0.32, "item 29"
item 30, 62.83, 28.2, "item 30"
item 31, 73.42, 98.03, "item 31"
item 32, 26.59, 68.87, "item 32"
item 33, 55.38, 81.36, "item 33"
item 34, 5.6, 38.53, "item 34"
item 35, 77.4, 82.02, "item 35"
item 36, 53.77, 66.62, "item 36"
item 37, 62.33, 77.83, "item 37"
item 38, 37.63, 70.39, "item 38"
item 39, 28.32, 31.89, "item 39"
item 40, 87.26, 70.64, "item 40"
item 41, 92.06, 69.21, "item 41"
item 42, 31.93, 39.5, "item 42"
item 43, 16.96, 17.94, "item 43"
item 44, 84.35, 83.6, "item 44"
item 45, 97.75, 1.69, "item 45"
item 46, 31.31, 51.92, "item 46"
item 47, 57.15, 7.06, "item 47"
item 48, 86.95, 71.84, "item 48"
item 49, 66.73, 66.41, "item 49"
item 50, 65.23, 59.12, "item 50"
item 51, 93.97, 89.35, "item 51"
item 52, 32.5, 18.12, "item 52"
item 53, 20.96, 48.87, "item 53"
item 54, 8.06, 46.8, "item 54"
item 55, 76.07, 77.73, "item 55"
item 56, 90.88, 88.07, "item 56"
item 57, 69.16, 59.26, "item 57"
item 58, 4.06, 23.54, "item 58"
item 59, 23.82, 2.78, "item 59"
item 60, 65.07, 88.8, "item 60"
item 61, 55.01, 78.61, "item 61"
item 62, 9.48, 0.32, "item 62"
item 63, 49.8, 50.03, "item 63"
item 64, 18.59, 23.27, "item 64"
item 65, 70.37, 80.32, "item 65"
item 66, 27.28, 76.8, "item 66"
item 67, 13.33, 12, "item 67"
item 68, 17.5, 68.81, "item 68"
item 69, 27.83, 12.05, "item 69"
item 70, 34.67, 75.55, "item 70"
item 71, 15.69, 52.34, "item 71"
item 72, 99.92, 33.47, "item 72"
item 73, 11.49, 47.56, "item 73"
item 74, 29.05, 90.04, "item 74"
item 75, 67.65, 4.13, "item 75"
item 76, 10.96, 68.54, "item 76"
item 77, 50.41, 43.42, "item 77"
item 78, 42.63, 37.65, "item 78"
item 79, 86.03, 49.82, "item 79"
item 80, 65.83, 40.92, "item 80"
item 81, 83.63, 60.2, "item 81"
item 82, 1.12, 33.49, "item 82"
item 83, 0.73, 54.96, "item 83"
item 84, 29.27, 93.71, "item 84"
item 85, 10.95, 33.02, "item 85"
item 86, 26.94, 26.15, "item 86"
item 87, 79.13, 53, "item 87"
item 88, 23.89, 48.65, "item 88"
item 89, 48.8, 1.2, "item 89"
item 90, 12.33, 61.45, "item 90"
item 91, 99.28, 3.42, "item 91"
item 92, 5.57, 28.84, "item 92"
item 93, 34.99, 31.73, "item 93"
item 94, 12.66, 65.07, "item 94"
item 95, 28.69, 70.53, "item 95"
item 96, 68.62, 5.35, "item 96"
item 97, 51.83, 96.36, "item 97"
item 98, 35.49, 60.14, "item 98"
item 99, 90.24, 95.1, "item 99"
item 100, 68.75, 96.1, "item 100"
item 101, 61.57, 87.15, "item 101"
item 102, 25.56, 60.93, "item 102"
item 103, 21.89, 56.13, "item 103"
item 104, 76.56, 70.7, "item 104"
item 105, 73.29, 80.05, "item 105"
item 106, 71.39, 8.36, "item 106"
item 107, 61.83, 45.04, "item 107"
item 108, 99.66, 39.58, "item 108"
item 109, 85.49, 81.48, "item 109"
item 110, 83.54, 38.69, "item 110"
item 111, 15.8, 99.58, "item 111"
item 112, 36.08, 31.08, "item 112"
item 113, 73.44, 17.61, "item 113"
item 114, 20.19, 1.13, "item 114"
