item 1, 45.38, 34.59, "item 1"
item 2, 39.31, 72.31, "item 2"
item 3, 70.29, 29.08, "item 3"
item 4, 38.33, 17.06, "item 4"
item 5, 24.2, 71.79, "item 5"
item 6, 64.68, 53.62, "item 6"
item 7, 79.23, 78.39, "item 7"
item 8, 64.13, 80.79, "item 8"
item 9, 90.34, 74.97, "item 9"
item 10, 27.57, 94.89, "item 10"
item 11, 8.92, 16.45, "item 11"
item 12, 2.43, 4.78, "item 12"
item 13, 60.35, 15.24, "item 13"
item 14, 31.78, 53.8, "item 14"
item 15, 95.18, 72.52, "item 15"
item 16, 54.73, 14.38, "item 16"
item 17, 47.39, 7.98, "item 17"
item 18, 90.2, 50.64, "item 18"
item 19, 10.94, 65.03, "item 19"
item 20, 17.44, 2.27, "item 20"
item 21, 76.4, 28.07, "item 21"
item 22, 61.68, 29.04, "item 22"
item 23, 52.88, 25.96, "item 23"
item 24, 90.66, 69.49, "item 24"
item 25, 37.7, 11.52, "item 25"
item 26, 28.82, 9.44, "item 26"
item 27, 85.65, 0.88, "item 27"
item 28, 0.1, 26.66, "item 28"
item 29, 73.39, 28.28, "item 29"
item 30, 17.11, 76.36, "item 30"
item 31, 50.11, 22.08, "item 31"
item 32, 44.9, 8.83, "item 32"
item 33, 15.42, 36.13, "item 33"
item 34, 80.92, 65.52, "item 34"
item 35, 67.41, 76.73, "item 35"
item 36, 9.23, 82.55, "item 36"
item 37, 19.77, 50.11, "item 37"
item 38, 6.52, 41.77, "item 38"
item 39, 95.39, 17.7, "item 39"
item 40, 0.64, 48.68, "item 40"
item 41, 65.57, 87.61, "item 41"
item 42, 7.68, 83.8, "item 42"
item 43, 19.1, 89.01, "item 43"
item 44, 3.07, 69.33, "item 44"
item 45, 13.54, 73.64, "item 45"
item 46, 14.23, 16.8, "item 46"
item 47, 81.92, 63.37, "item 47"
item 48, 57.24, 72.66, "item 48"
item 49, 42.85, 16.15, "item 49"
item 50, 78.89, 58.96, "item 50"
item 51, 89.07, 13.99, "item 51"
item 52, 6.5, 13.85, "item 52"
item 53, 10.34, 86.11, "item 53"
item 54, 52.83, 72.83, "item 54"
item 55, 40.02, 67.9, "item 55"
item 56, 70.99, 95.86, "item 56"
item 57, 1.59, 62.2, "item 57"
item 58, 5.31, 37.58, "item 58"
item 59, 71.55, 13.13, "item 59"
item 60, 37.88, 78.5, "item 60"
item 61, 67.62, 24.76, "item 61"
item 62, 87.85, 83.3, "item 62"
item 63, 18.05, 56.94, "item 63"
item 64, 80.72, 29.33, "item 64"
item 65, 66.63, 8.89, "item 65"
item 66, 68.19, 53.02, "item 66"
item 67, 20.66, 57.45, "item 67"
item 68, 45.74, 94.74, "item 68"
item 69, 54.78, 51.38, "item 69"
item 70, 84.65, 83.9, "item 70"
item 71, 41.96, 75.78, "item 71"
item 72, 68, 95.06, "item 72"
item 73, 95.2, 91.21, "item 73"
item 74, 96.04, 23.24, "item 74"
item 75, 67.87, 21.18, "item 75"
item 76, 5.24, 71.87, "item 76"
item 77, 79.35, 8.52, "item 77"
item 78, 27.66, 20.55, "item 78"
item 79, 3.23, 86.22, "item 79"
item 80, 2.34, 41.26, "item 80"
item 81, 79.91, 11.68, "item 81"
item 82, 38.77, 61.58, "item 82"
item 83, 93, 94.44, "item 83"
item 84, 24.35, 31.39, "item 84"
item 85, 79.22, 7.27, "item 85"
item 86, 61.81, 35.37, "item 86"
item 87, 25.37, 7.64, "item 87"
item 88, 20.89, 8.06, "item 88"
item 89, 42.66, 12.8, "item 89"
item 90, 88.98, 50.33, "item 90"
item 91, 98.74, 65.13, "item 91"
item 92, 9.83, 16.57, "item 92"
item 93, 30.78, 96.76, "item 93"
item 94, 6.25, 40.41, "item 94"
item 95, 58.98, 52.17, "item 95"
item 96, 93.16, 93.6, "item 96"
item 97, 69.62, 56.05, "item 97"
item 98, 0.58, 27.23, "item 98"
item 99, 38.7, 19.9, "item 99"
item 100, 42.96, 27.51, "item 100"
item 101, 23.18, 65.22, "item 101"
item 102, 90.36, 29.41, "item 102"
item 103, 55.26, 4, "item 103"
item 104, 20.31, 70.54, "item 104"
item 105, 37.21, 57.59, "item 105"
item 106, 54.7, 34.89, "item 106"
item 107, 48.92, 14.33, "item 107"
item 108, 15.06, 31.59, "item 108"
item 109, 48.56, 22.77, "item 109"
item 110, 61.97, 77.38, "item 110"
item 111, 68.07, 92.87, "item 111"
item 112, 19.34, 2.89, "item 112"
item 113, 79.08, 30.54, "item 113"
item 114, 22.76, 83.02, "item 114"
item 115, 32.93, 62.19, "item 115"
item 116, 72.73, 99.26, "item 116"
item 117, 58.32, 15.74, "item 117"
item 118, 17.94, 78.04, "item 118"
item 119, 34.5, 11.69, "item 119"
item 120, 41.93, 13.31, "item 120"
item 121, 44.14, 83.96, "item 121"
item 122, 76.93, 73.69, "item 122"
item 123, 50.37, 93.9, "item 123"
item 124, 22.89, 15.26, "item 124"
item 125, 35.36, 22.78, "item 125"
item 126, 6.87, 69.24, "item 126"
item 127, 83.98, 28.21, "item 127"
item 128, 78.17, 50.74, "item 128"
item 129, 95.58, 28.42, "item 129"
item 130, 97.77, 39.3, "item 130"
item 131, 59.07, 34.05, "item 131"
item 132, 47.59, 15.22, "item 132"
item 133, 32.37, 82.42, "item 133"
item 134, 54.24, 96.19, "item 134"
item 135, 25.83, 41.02, "item 135"
item 136, 94.93, 8.46, "item 136"
item 137, 0.9, 38.26, "item 137"
item 138, 29.16, 43.62, "item 138"
item 139, 60.6, 48.14, "item 139"
item 140, 78.57, 97.65, "item 140"
item 141, 26.16, 2.49, "item 141"
item 142, 59.62, 62.59, "item 142"
item 143, 65.42, 29.47, "item 143"
item 144, 59.1, 42.53, "item 144"
item 145, 62.99, 20.44, "item 145"
item 146, 30.54, 95.55, "item 146"
item 147, 99.49, 8.41, "item 147"
item 148, 81.57, 61.32, "item 148"
item 149, 37.93, 0.95, "item 149"
item 150, 16.37, 19.75, "item 150"
item 151, 98.78, 47.9, "item 151"
item 152, 95.53, 40.6, "item 152"
item 153, 42.18, 40.08, "item 153"
item 154, 76.33, 25.95, "item 154"
item 155, 65.78, 28.85, "item 155"
item 156, 0.46, 18.03, "item 156"
item 157, 69.64, 28.56, "item 157"
item 158, 3.4, 43.41, "item 158"
item 159, 35.75, 13.95, "item 159"
item 160, 29.78, 91.13, "item 160"
item 161, 19.35, 52.61, "item 161"
item 162, 52.68, 77.18, "item 162"
item 163, 51.25, 19.3, "item 163"
item 164, 11.07, 30.78, "item 164"
item 165, 6.32, 23.08, "item 165"
item 166, 99.32, 48.67, "item 166"
item 167, 1.65, 40.96, "item 167"
item 168, 65.58, 3, "item 168"
item 169, 50.01, 92.53, "item 169"
item 170, 1.49, 55.67, "item 170"
item 171, 9.04, 8.75, "item 171"
item 172, 34.82, 27.32, "item 172"
item 173, 34.49, 45.12, "item 173"
item 174, 68.82, 92.63, "item 174"
item 175, 67.46, 64.62, "item 175"
item 176, 47.12, 25.53, "item 176"
item 177, 59.47, 68.92, "item 177"
item 178, 61.61, 97.34, "item 178"
item 179, 66.85, 87.73, "item 179"
item 180, 62.12, 39.08, "item 180"
item 181, 26.46, 45.68, "item 181"
item 182, 71.3, 15.02, "item 182"
item 183, 58.51, 13.67, "item 183"
item 184, 56.04, 18.82, "item 184"
item 185, 28.9, 17.46, "item 185"
item 186, 57.45, 95.83, "item 186"
item 187, 43.65, 19.87, "item 187"
item 188, 35.55, 15.51, "item 188"
item 189, 40.79, 15.26, "item 189"
item 190, 41.82, 66.7, "item 190"
item 191, 91.68, 74.75, "item 191"
item 192, 93.27, 24.6, "item 192"
item 193, 22.55, 59.14, "item 193"
item 194, 84.71, 43.76, "item 194"
item 195, 19.89, 72.58, "item 195"
item 196, 42.71, 63.84, "item 196"
item 197, 88.66, 64.7, "item 197"
item 198, 94.21, 76.03, "item 198"
item 199, 91.15, 1.48, "item 199"
item 200, 95.53, 87.3, "item 200"
item 201, 5.87, 15.7, "item 201"
item 202, 43.47, 36.78, "item 202"
item 203, 11.25, 16.89, "item 203"
item 204, 69.01, 64.13, "item 204"
item 205, 16.34, 87.56, "item 205"
item 206, 96.59, 3.17, "item 206"
item 207, 32.61, 17.53, "item 207"
item 208, 36.71, 75.73, "item 208"
item 209, 4.74, 31.52, "item 209"
item 210, 68.49, 90.55, "item 210"
item 211, 95.86, 46.43, "item 211"
item 212, 60.04, 9.83, "item 212"
item 213, 53.55, 54.21, "item 213"
item 214, 69.02, 32.19, "item 214"
item 215, 66.06, 63.97, "item 215"
item 216, 63.89, 54.92, "item 216"
item 217, 55.6, 52.37, "item 217"
item 218, 6.86, 20.58, "item 218"
item 219, 45.1, 65.53, "item 219"
item 220, 43.83, 23.64, "item 220"
item 221, 78.01, 87.56, "item 221"
item 222, 53.5, 51.21, "item 222"
item 223, 67.03, 40.69, "item 223"
item 224, 18.25, 58.55, "item 224"
item 225, 96.75, 10.59, "item 225"
item 226, 92.77, 35.01, "item 226"
item 227, 7.84, 96.49, "item 227"
